customer_state,orders,customers,revenue,revenue_share
SP,41745,41745,5998226.96,37.46814213417553
RJ,12852,12852,2144379.69,13.394945464777688
MG,11635,11635,1872257.26,11.695122841670871
RS,5466,5466,890898.54,5.565030024113903
PR,5045,5045,811156.38,5.066917731116213
SC,3637,3637,623086.43,3.892131971131018
BA,3380,3380,616645.82,3.851900467301627
DF,2140,2140,355141.08,2.218401629658342
GO,2020,2020,350092.31,2.1868643048414826
ES,2033,2033,325967.55,2.036168117007858
PE,1652,1652,324850.44,2.0291900488989603
CE,1336,1336,279464.03,1.7456821936310152
PA,975,975,218295.85,1.3635929399878297
MT,907,907,187029.29,1.1682852395725176
MA,747,747,152523.02,0.9527405732066025
PB,536,536,141545.72,0.8841704708426391
MS,715,715,137534.84,0.8591163635330481
PI,495,495,108523.97,0.6778989124687942
RN,485,485,102718.13,0.6416325224540553
AL,413,413,96962.06,0.6056770225484192
SE,350,350,75246.25,0.4700284282113436
TO,280,280,61485.33,0.3840703426144927
RO,253,253,60866.2,0.38020292462677246
AM,148,148,27966.93,0.17469644201268064
AC,81,81,19680.62,0.12293570622887828
AP,68,68,16262.8,0.10158616970700118
RR,46,46,10064.62,0.0628690136604077
