product_category_name_english,orders,items_sold,revenue
bed_bath_table,9417,11115,1712553.67
health_beauty,8836,9670,1657373.12
computers_accessories,6689,7827,1585330.45
furniture_decor,6449,8334,1430176.39
watches_gifts,5624,5991,1429216.68
sports_leisure,7720,8641,1392127.56
housewares,5884,6964,1094758.13
auto,3897,4235,852294.33
garden_tools,3518,4347,838280.75
cool_stuff,3632,3796,779698.0
office_furniture,1273,1691,646826.49
toys,3886,4117,619037.69
baby,2885,3065,539845.66
perfumery,3162,3419,506738.66
telephony,4199,4545,486882.05
stationery,2311,2517,317440.07
pet_shop,1710,1947,311268.97
computers,181,203,279121.55
electronics,2550,2767,259857.1
construction_tools_construction,748,929,241475.63
musical_instruments,628,680,233074.12
small_appliances,630,679,225584.38
fashion_bags_accessories,1864,2031,218158.28
fixed_telephony,217,264,207010.26
consoles_games,1062,1137,195480.38
luggage_accessories,1034,1092,187151.29
home_construction,490,604,136645.29
furniture_living_room,422,503,136138.77
home_appliances_2,234,238,124563.45999999999
agro_industry_and_commerce,182,212,118730.61
home_appliances,764,771,95532.27
air_conditioning,253,297,91170.66
home_confort,397,434,84329.06
kitchen_dining_laundry_garden_furniture,248,281,74660.98
construction_tools_lights,244,304,72712.48
drinks,297,379,71429.65
signaling_and_security,140,199,68488.05
construction_tools_safety,167,194,65691.03
books_general_interest,512,553,64694.76
audio,350,364,60324.62
industry_commerce_and_business,235,268,56745.76
small_appliances_home_oven_and_coffee,75,76,51229.32
food,450,510,46428.67
market_place,280,311,45335.92
costruction_tools_garden,194,238,42394.41
fashion_shoes,240,262,32422.74
furniture_bedroom,95,109,31598.94
art,202,209,30992.93
food_drink,227,278,27289.73
books_technical,260,267,24915.44
costruction_tools_tools,97,103,21069.07
christmas_supplies,128,153,18994.77
fashion_male_clothing,112,132,17290.98
fashion_underwear_beach,121,131,12714.539999999999
tablets_printing_image,79,83,10042.93
cine_photo,65,72,9530.32
dvds_blu_ray,59,64,7935.28
music,38,38,6901.43
books_imported,53,60,6701.89
furniture_mattress_and_upholstery,38,38,5998.54
party_supplies,39,43,5966.31
fashio_female_clothing,39,48,5109.62
diapers_and_hygiene,27,39,4221.25
fashion_sport,27,30,3645.92
la_cuisine,13,14,2913.53
arts_and_craftmanship,23,24,2326.17
flowers,29,33,2213.01
home_comfort_2,24,30,1710.54
cds_dvds_musicals,12,14,1199.43
fashion_childrens_clothes,8,8,785.67
security_and_services,2,2,324.51
